Abfangschirm	Abfangschirm	NN	positive	0/0/0	D
Abgeklärtheit	Abgeklärtheit	NN	positive	0/0/0	D
Abgeschlossenheit	Abgeschlossenheit	NN	positive	0/0/0	D
Abgleich	Abgleich	NN	positive	0/0/0	D
Abgott	Abgott	NN	positive	0/0/0	D
Abhilfe	Abhilfe	NN	positive	0.2/0.8/0	D
Abhilfemaßnahme	Abhilfemaßnahme	NN	positive	0/0/0	D
Abkomme	Abkomme	NN	positive	0/0/0	D
Abkommen	Abkomme	NN	positive	0/0/0	D
Abkühlung	Abkühlung	NN	positive	0.5/0.5/0	D
Ableger	Ableger	NN	positive	0/0/0	D
Ablösen	Ablöse	NN	positive	0.5/0.5/0	D
Ablösung	Ablösung	NN	positive	0/0/0	D
Abmachung	Abmachung	NN	positive	0.0040/0/0	L
Abmachungen	Abmachung	NN	positive	0.0040/0/0	L
Abschirmung	Abschirmung	NN	positive	0/0/1	D
Abschluss	Abschluß	NN	positive	0.5/0/0.5	D
Abschluß	Abschluß	NN	positive	0.0040/0/0	L
Abschlußes	Abschluß	NN	positive	0.0040/0/0	L
Abschlußs	Abschluß	NN	positive	0.0040/0/0	L
Abschlüße	Abschluß	NN	positive	0.0040/0/0	L
Abschlüßen	Abschluß	NN	positive	0.0040/0/0	L
Absicherung	Absicherung	NN	positive	0/0/0	D
Absprache	Absprache	NN	positive	0/0/0	D
Abstimmung	Abstimmung	NN	positive	0.0040/0/0	L
Abstimmungen	Abstimmung	NN	positive	0.0040/0/0	L
Abstützung	Abstützung	NN	positive	0/0/0	D
Abstützvorrichtung	Abstützvorrichtung	NN	positive	0/0/0	D
Abundanz	Abundanz	NN	positive	0/0/0	D
Abwechslung	Abwechslung	NN	positive	0.375/0.4375/0.1875	D
Achtsamkeit	Achtsamkeit	NN	positive	0/0/0	D
Adaptation	Adaptation	NN	positive	0/0/0	D
Adaptationsfähigkeit	Adaptationsfähigkeit	NN	positive	0/0/0	D
Adept	Adept	NN	positive	0/0/0	D
Adhäsion	Adhäsion	NN	positive	0/0/0	D
Affirmation	Affirmation	NN	positive	0/0/0	D
Agilität	Agilität	NN	positive	0.0040/0/0	L
Akklamation	Akklamation	NN	positive	0/0/0	D
Akquisition	Akquisition	NN	positive	0/0/0	D
Aktivist	Aktivist	NN	positive	0/0/0	D
Aktivistin	Aktivistin	NN	positive	0/0/0	D
Aktivität	Aktivität	NN	positive	0.0040/0/0	L
Aktivitäten	Aktivität	NN	positive	0.0040/0/0	L
Aktivposten	Aktivposten	NN	positive	0/0/0	D
Aktivum	Aktivum	NN	positive	0/0/0	D
Aktualisierung	Aktualisierung	NN	positive	0.0040/0/0	L
Aktualisierungen	Aktualisierung	NN	positive	0.0040/0/0	L
Aktualität	Aktualität	NN	positive	0.0040/0/0	L
Aktualitäten	Aktualität	NN	positive	0.0040/0/0	L
Akzent	Akzent	NN	positive	0/0.25/0.75	D
Akzept	Akzept	NN	positive	0/0/0	D
Akzeptanz	Akzeptanz	NN	positive	0.0040/0/0	L
Allheilmittel	Allheilmittel	NN	positive	0/0/1	D
Allianz	Allianz	NN	positive	0/0/0	D
Alliierte	Alliierte	NN	positive	0/0/0	D
Altarraum	Altarraum	NN	positive	0/0/0	D
