Abbild	Abbild	NN	neutral	0/0/0	D
Abdeckblech	Abdeckblech	NN	neutral	0/0/0	D
Abdeckgitter	Abdeckgitter	NN	neutral	0/0/0	D
Abdeckrost	Abdeckrost	NN	neutral	0/0/0	D
Abdeckung	Abdeckung	NN	neutral	0.454545/0.272727/0.272727	D
Abdruck	Abdruck	NN	neutral	0/0/1	D
Abdrucknehmen	Abdrucknehmen	NN	neutral	0/0/0	D
Abenteuer	Abenteuer	NN	neutral	0/1/0	D
Ablage	Ablage	NN	neutral	0.25/0.75/0	D
Ablagegestell	Ablagegestell	NN	neutral	0/0/0	D
Ablauf	Ablauf	NN	neutral	0/1/0	D
Ablaufregelung	Ablaufregelung	NN	neutral	0/0/0	D
Ablenkblech	Ablenkblech	NN	neutral	0/0/0	D
Ablenkplatte	Ablenkplatte	NN	neutral	0/0/0	D
Ablieferung	Ablieferung	NN	neutral	0/0/0	D
Abreicherung	Abreicherung	NN	neutral	0/0/0	D
Abruf	Abruf	NN	neutral	0/0/0	D
Abschlag	Abschlag	NN	neutral	0/0/1	D
Abschlagszahlung	Abschlagszahlung	NN	neutral	0/0/0	D
Abschnitt	Abschnitt	NN	neutral	0/0/0	D
Abseite	Abseite	NN	neutral	0/0/0	D
Absicht	Absicht	NN	neutral	0.25/0.75/0	D
Abspannung	Abspannung	NN	neutral	0/0/0	D
Abstinenzbewegung	Abstinenzbewegung	NN	neutral	0/0/0	D
Abtretung	Abtretung	NN	neutral	0/0/0	D
Abwehrspieler	Abwehrspieler	NN	neutral	0/0/0	D
Abwägung	Abwägung	NN	neutral	1/0/0	D
Advokat	Advokat	NN	neutral	0/0/0	D
Affekt	Affekt	NN	neutral	0/0/0	D
Affektion	Affektion	NN	neutral	0/0/0	D
Affinität	Affinität	NN	neutral	0/0/0	D
Aha-Erlebnis	Aha-Erlebnis	NN	neutral	0/0/0	D
Ahnung	Ahnung	NN	neutral	0.3/0.55/0.15	D
Akkommodationsbreite	Akkommodationsbreite	NN	neutral	0/0/0	D
Akkomodationsbreite	Akkomodationsbreite	NN	neutral	0/0/0	D
Akteur	Akteur	NN	neutral	1/0/0	D
Allgemeinplatz	Allgemeinplatz	NN	neutral	0/0/0	D
Alter	Alter	NN	neutral	0.307692/0.538462/0.153846	D
Alternative	Alternative	NN	neutral	0.431818/0.431818/0.136364	D
Analyse	Analyse	NN	neutral	0.75/0.25/0	D
Analysegerät	Analysegerät	NN	neutral	0/0/0	D
Anblick	Anblick	NN	neutral	0/0.5/0.5	D
Anbringung	Anbringung	NN	neutral	0.333333/0.333333/0.333333	D
Andruck	Andruck	NN	neutral	0/0/0	D
Anfahrt	Anfahrt	NN	neutral	0/0/0	D
Anfangs	Anfang	NN	neutral	0.254237/0.542373/0.20339	D
Anfertigung	Anfertigung	NN	neutral	0/0/0	D
Anforderung	Anforderung	NN	neutral	0.166667/0.333333/0.5	D
Anforderungen	Anforderung	NN	neutral	0.166667/0.333333/0.5	D
Angelegenheit	Angelegenheit	NN	neutral	0.2/0.6/0.2	D
Anlage	Anlage	NN	neutral	0.214286/0.535714/0.25	D
Anlass	Anlaß	NN	neutral	0.666667/0/0.333333	D
Anlegbarkeit	Anlegbarkeit	NN	neutral	0/0/0	D
Anlehnung	Anlehnung	NN	neutral	0/0/0	D
Anleitung	Anleitung	NN	neutral	0.511111/0.333333/0.155556	D
Anmerkung	Anmerkung	NN	neutral	0.333333/0.333333/0.333333	D
Annahme	Annahme	NN	neutral	0/0.5/0.5	D
Anpflanzung	Anpflanzung	NN	neutral	0/0/0	D
Anpressvorrichtungen	Anpressvorrichtungen	NN	neutral	0/0/0	D
Anprobe	Anprobe	NN	neutral	0/0/0	D
Anschauung	Anschauung	NN	neutral	0/0/0	D
Anschein	Anschein	NN	neutral	1/0/0	D
Ansehung	Ansehung	NN	neutral	0/0/0	D
Ansicht	Ansicht	NN	neutral	0.2/0.3/0.5	D
Ansichten	Ansicht	NN	neutral	0.2/0.3/0.5	D
Ansteuerung	Ansteuerung	NN	neutral	1/0/0	D
Anstoß	Anstoß	NN	neutral	0/0/0	D
Antizyklone	Antizyklone	NN	neutral	0/0/0	D
Anvulkanisation	Anvulkanisation	NN	neutral	0/0/0	D
Anvulkanisieren	Anvulkanisieren	NN	neutral	0/0/0	D
Anzeige	Anzeige	NN	neutral	0.52/0.28/0.2	D
Apostel	Apostel	NN	neutral	0/0/0	D
Arbeit	Arbeit	NN	neutral	0.428571/0.311688/0.25974	D
Arbeitseinstellung	Arbeitseinstellung	NN	neutral	0/0/0	D
Areal	Areal	NN	neutral	0/0/0	D
Argument	Argument	NN	neutral	0.4/0.6/0	D
Argumentation	Argumentation	NN	neutral	0/0/0	D
Argumente	Argument	NN	neutral	0.4/0.6/0	D
Art	Art	NN	neutral	0.25/0.410714/0.339286	D
Aspiration	Aspiration	NN	neutral	0/0/0	D
Asyl	Asyl	NN	neutral	0/0/0	D
Aszendent	Aszendent	NN	neutral	0/0/0	D
Atemzug	Atemzug	NN	neutral	0/0/0	D
Aufarbeitung	Aufarbeitung	NN	neutral	0/0/0	D
Aufenthalt	Aufenthalt	NN	neutral	0/0/0	D
Auffassung	Auffassung	NN	neutral	0/0/1	D
Aufführung	Aufführung	NN	neutral	0/0/0	D
Aufgabenstellung	Aufgabenstellung	NN	neutral	0/1/0	D
Auflagergröße	Auflagergröße	NN	neutral	0/0/0	D
Auflagerkraft	Auflagerkraft	NN	neutral	0/0/0	D
Auflagerreaktion	Auflagerreaktion	NN	neutral	0/0/0	D
Aufsteller	Aufsteller	NN	neutral	0/0/0	D
Auftakt	Auftakt	NN	neutral	0/0/0	D
Aufteilung	Aufteilung	NN	neutral	0/0/0	D
Auftreten	Auftreten	NN	neutral	0.121212/0.69697/0.181818	D
Auftritt	Auftritt	NN	neutral	0.571429/0.428571/0	D
Augenblick	Augenblick	NN	neutral	0.333333/0.333333/0.333333	D
Augenbraue	Augenbraue	NN	neutral	0/0/0	D
Aus-Stellung	Aus-Stellung	NN	neutral	0/0/0	D
Ausbildungs	Ausbildungs	NN	neutral	0/0/0	D
Ausblühungen	Ausblühungen	NN	neutral	0/0/0	D
Ausdruck	Ausdruck	NN	neutral	0.357143/0.428571/0.214286	D
Ausführung	Ausführung	NN	neutral	0.4/0.466667/0.133333	D
Ausführungsform	Ausführungsform	NN	neutral	0/0/0	D
Ausgang	Ausgang	NN	neutral	0.333333/0.5/0.166667	D
Ausgangsdrossel	Ausgangsdrossel	NN	neutral	0/0/0	D
Ausgangsform	Ausgangsform	NN	neutral	0/0/0	D
Ausgestaltung	Ausgestaltung	NN	neutral	0/0/0	D
Auskehlung	Auskehlung	NN	neutral	0/0/0	D
Auskragung	Auskragung	NN	neutral	0/0/0	D
Auslastung	Auslastung	NN	neutral	0/0/0	D
Ausleger	Ausleger	NN	neutral	0/0/0	D
Auslenkung	Auslenkung	NN	neutral	0/0/0	D
Ausläufer	Ausläufer	NN	neutral	0/0/0	D
Ausnutzung	Ausnutzung	NN	neutral	1/0/0	D
Ausrichtung	Ausrichtung	NN	neutral	0.4/0.6/0	D
Aussehen	Aussehen	NN	neutral	0.283582/0.477612/0.238806	D
Aussichtspunkte	Aussichtspunkt	NN	neutral	0/0/0	D
Ausstanzer	Ausstanzer	NN	neutral	0/0/0	D
Ausstattungsfilm	Ausstattungsfilm	NN	neutral	0/0/0	D
Aussteifung	Aussteifung	NN	neutral	0/0/0	D
Ausstellung	Ausstellung	NN	neutral	0/0/0	D
Aussteuerungsweite	Aussteuerungsweite	NN	neutral	0/0/0	D
Ausströmreaktionskräfte	Ausströmreaktionskräfte	NN	neutral	0/0/0	D
Austastung	Austastung	NN	neutral	0/0/0	D
Ausweg	Ausweg	NN	neutral	0/0/0	D
Auswerteverfahren	Auswerteverfahren	NN	neutral	0/0/0	D
Auswertung	Auswertung	NN	neutral	0/0.666667/0.333333	D
Auswärtsspiel	Auswärtsspiel	NN	neutral	0/0/0	D
Auszug	Auszug	NN	neutral	0.25/0.25/0.5	D
Baby	Baby	NN	neutral	0.5625/0.3125/0.125	D
Bach	Bach	NN	neutral	0.25/0.5/0.25	D
Bahn	Bahn	NN	neutral	0.5/0/0.5	D
Balkenrost	Balkenrost	NN	neutral	0/0/0	D
Ballwechsel	Ballwechsel	NN	neutral	0/0/0	D
Bank	Bank	NN	neutral	0/0/1	D
Bankert	Bankert	NE	neutral	0/0/0	D
Bankschließfach	Bankschließfach	NN	neutral	0/0/0	D
Basis	Basis	NN	neutral	0.307692/0.461538/0.230769	D
Basisnetz	Basisnetz	NN	neutral	0/0/0	D
Bauhöhe	Bauhöhe	NN	neutral	0/1/0	D
Bauhütte	Bauhütte	NN	neutral	0/0/0	D
Baumkante	Baumkante	NN	neutral	0/0/0	D
Bausparkasse	Bausparkasse	NN	neutral	0/0/0	D
Baustahlgewebe	Baustahlgewebe	NN	neutral	0/0/0	D
Baustein
Freigabe	Baustein-Freigabe	NN	neutral	0/0/0	D
Becken	Becken	NN	neutral	0/0/0	D
Bedarf	Bedarf	NN	neutral	0.583333/0.333333/0.0833333	D
Bediengerät	Bediengerät	NN	neutral	0/0/0	D
Bedienungsfeld	Bedienungsfeld	NN	neutral	0/0/0	D
Begleichung	Begleichung	NN	neutral	0/0/0	D
Begriff	Begriff	NN	neutral	0.0909091/0.727273/0.181818	D
Begründung	Begründung	NN	neutral	0/0.5/0.5	D
Behandlung	Behandlung	NN	neutral	0.333333/0.333333/0.333333	D
Behälter	Behälter	NN	neutral	0.391304/0.304348/0.304348	D
Beispiel	Beispiel	NN	neutral	0.347305/0.383234/0.269461	D
Beispielsfall	Beispielsfall	NN	neutral	0/0/0	D
Beize	Beize	NN	neutral	0/0/0	D
Beizen	Beize	NN	neutral	0/0/0	D
Belletristik	Belletristik	NN	neutral	0/0/0	D
Bemerkung	Bemerkung	NN	neutral	0/1/0	D
Bemessung	Bemessung	NN	neutral	0/1/0	D
Berater	Berater	NN	neutral	0/0/0	D
Beratung	Beratung	NN	neutral	0/0/0	D
Bereifung	Bereifung	NN	neutral	0/0/0	D
Berichterstatter	Berichterstatter	NN	neutral	0/0/0	D
Berlocke	Berlocke	NN	neutral	0/0/0	D
Berührung	Berührung	NN	neutral	0/0.75/0.25	D
Bescheid	Bescheid	NN	neutral	0.25/0.75/0	D
Bescheinigungswesen	Bescheinigungswesen	NN	neutral	0/0/0	D
Beschlag	Beschlag	NN	neutral	0/0/0	D
Beschleuniger	Beschleuniger	NN	neutral	0/0/0	D
Beschluss	Beschluß	NN	neutral	0/0/0	D
Beschnittzugabe	Beschnittzugabe	NN	neutral	0/0/0	D
Besitzer	Besitzer	NN	neutral	0.461538/0.461538/0.0769231	D
Besitzerin	Besitz	NE	neutral	0.47619/0.333333/0.190476	D
Besitzübertragung	Besitzübertragung	NN	neutral	0/0/0	D
Bestimmung	Bestimmung	NN	neutral	0/0/1	D
Beton	Beton	NN	neutral	0.8/0.2/0	D
Betonung	Betonung	NN	neutral	0/0/0	D
Betrieb	Betrieb	NN	neutral	0.294118/0.458824/0.247059	D
Betriebsverfassungsgesetz	Betriebsverfassungsgesetz	NN	neutral	0/0/0	D
Beurteilung	Beurteilung	NN	neutral	0.142857/0.714286/0.142857	D
Bevorzugung	Bevorzugung	NN	neutral	0/0/0	D
Bewandtnis	Bewandtnis	NN	neutral	0/0/0	D
Beweggrund	Beweggrund	NN	neutral	0/0/0	D
Bewegung	Bewegung	NN	neutral	0.1875/0.5625/0.25	D
Bewusstheit	Bewußtheit	NN	neutral	0/0/0	D
Bewusstsein	Bewußtsein	NN	neutral	0/0/0	D
Bewusstseinsbildung	Bewußtseinsbildung	NN	neutral	0/0/0	D
Bewusstwerdung	Bewusstwerdung	NN	neutral	0/0/0	D
Bezugsformstück	Bezugsformstück	NN	neutral	0/0/0	D
Bild	Bild	NN	neutral	0.35533/0.380711/0.263959	D
Bildabstand	Bildabstand	NN	neutral	0/0/0	D
Bildhelligkeit	Bildhelligkeit	NN	neutral	0/0/0	D
Bildkontrastverstärkung	Bildkontrastverstärkung	NN	neutral	0/0/0	D
Bildnis	Bildnis	NN	neutral	0/0/0	D
Bindebogen	Bindebogen	NN	neutral	0/0/0	D
Bisexuelle	Bisexuelle	NN	neutral	0/0/0	D
Blattschraube	Blattschraube	NN	neutral	0/0/0	D
Bleiplombe	Bleiplombe	NN	neutral	0/0/0	D
Blende	Blende	NN	neutral	0/1/0	D
Blendrahmen	Blendrahmen	NN	neutral	0/0/0	D
Blitzen	Blitz	NN	neutral	0.75/0.25/0	D
Block	Block	NN	neutral	0.5/0.166667/0.333333	D
Blocksatz	Blocksatz	NN	neutral	0/0/0	D
Blust	Blust	NN	neutral	0/0/0	D
Blutrot	Blutrot	NN	neutral	0/0/0	D
Boden	Boden	NN	neutral	0.301887/0.471698/0.226415	D
Bodenverfestiger	Bodenverfestiger	NN	neutral	0/0/0	D
Bodenwrange	Bodenwrange	NN	neutral	0/0/0	D
Bogenweiche	Bogenweiche	NN	neutral	0/0/0	D
Bohrarbeit	Bohrarbeit	NN	neutral	0/0/0	D
Bohrloch	Bohrloch	NN	neutral	0/0.666667/0.333333	D
Bohrung	Bohrung	NN	neutral	0/0.5/0.5	D
Bordell	Bordell	NN	neutral	0/0/0	D
Borstenhaar	Borstenhaar	NN	neutral	0/0/0	D
Brandprobe	Brandprobe	NN	neutral	0/0/0	D
Brandungswelle	Brandungswelle	NN	neutral	0/0/0	D
Bride	Bride	NN	neutral	0/0/0	D
Briefschluss	Briefschluss	NN	neutral	0/0/0	D
Brötchen	Brötchen	NN	neutral	0.4/0.4/0.2	D
Brückenpfeiler	Brückenpfeiler	NN	neutral	0/0/0	D
Bundstäbchen	Bundstäbchen	NN	neutral	0/0/0	D
Buttertoffee	Buttertoffee	NN	neutral	0/0/0	D
Bürgschaft	Bürgschaft	NN	neutral	0/0/0	D
Bürgschaftsnehmer	Bürgschaftsnehmer	NN	neutral	0/0/0	D
Cartoon	Cartoon	NN	neutral	0/0/0	D
Chassis	Chassis	NN	neutral	0/0/0	D
Cherub	Cherub	NN	neutral	0/0/0	D
Chevreau	Chevreau	NN	neutral	0/0/0	D
Chevreauleder	Chevreauleder	NN	neutral	0/0/0	D
Chiffre	Chiffre	NN	neutral	0/0/0	D
Chiffrierschlüssel	Chiffrierschlüssel	NN	neutral	0/0/0	D
Choral	Choral	NN	neutral	0.5/0/0.5	D
Chorraum	Chorraum	NN	neutral	0/0/0	D
Chrysantheme	Chrysantheme	NN	neutral	0/0/0	D
Clique	Clique	NN	neutral	0/0/0	D
Dachschräge	Dachschräge	NN	neutral	0/0/0	D
Darsteller	Darsteller	NN	neutral	0.333333/0.333333/0.333333	D
Darstellung	Darstellung	NN	neutral	0.222222/0.444444/0.333333	D
Datenoase	Datenoase	NN	neutral	0/0/0	D
Dauer	Dauer	NN	neutral	0.117647/0.558824/0.323529	D
Dauerhaftigkeit	Dauerhaftigkeit	NN	neutral	0/0/0	D
Daumen	Daumen	NN	neutral	0.444444/0.444444/0.111111	D
Deckband	Deckband	NN	neutral	0/0/0	D
Deckelkorb	Deckelkorb	NN	neutral	0/0/0	D
Deckfalte	Deckfalte	NN	neutral	0/0/0	D
Deckstütze	Deckstütze	NN	neutral	0/0/0	D
Deduktion	Deduktion	NN	neutral	0/0/0	D
Definiertheit	Definiertheit	NN	neutral	0/0/0	D
Delkredere	Delkredere	NN	neutral	0/0/0	D
Denken	Denken	NN	neutral	0.245283/0.462264/0.292453	D
Denkungsart	Denkungsart	NN	neutral	0/0/0	D
Depotfund	Depotfund	NN	neutral	0/0/0	D
Destillationsapparat	Destillationsapparat	NN	neutral	0/0/0	D
Destillationsblase	Destillationsblase	NN	neutral	0/0/0	D
Dia	Dia	NN	neutral	0/0/0	D
Diapositiv	Diapositiv	NN	neutral	0/0/0	D
Dichtung	Dichtung	NN	neutral	0.2/0.7/0.1	D
Dichtungsfilzstreifen	Dichtungsfilzstreifen	NN	neutral	0/0/0	D
Diele	Diele	NN	neutral	0/0/0	D
Dienstbote	Dienstbot	NN	neutral	0/0/0	D
Dienstbotin	Dienstbotin	NN	neutral	0/0/0	D
Dienstgrad	Dienstgrad	NN	neutral	0/0/0	D
Dienstrang	Dienstrang	NN	neutral	0/0/0	D
Differenz	Differenz	NN	neutral	0/1/0	D
